"","taxon","long","lat"
"1505","P. pennsylvanica",-80.15167,41.64139
"1506","P. pennsylvanica",-80.15167,41.64139
"1507","P. pennsylvanica",-80.15167,41.64139
"1508","P. pennsylvanica",-80.15167,41.64139
"1509","P. pennsylvanica",-78.83306,41.38167
"1510","P. pennsylvanica",-78.83306,41.38167
"1511","P. pennsylvanica",-78.87361,41.39056
"1520","P. pennsylvanica",-79.13167,41.33694
"1521","P. pennsylvanica",-79.13167,41.33694
"1522","P. pennsylvanica",-77.46709,39.73015
"1523","P. pennsylvanica",-77.46709,39.73015
"1524","P. pennsylvanica",-77.46709,39.73015
"1525","P. pennsylvanica",-77.46709,39.73015
"1526","P. pennsylvanica",-77.46709,39.73015
"1531","P. pennsylvanica",-79.1505,40.62111
"1532","P. pennsylvanica",-79.6556,40.35171
"1533","P. pennsylvanica",-79.6556,40.35171
"1536","P. pennsylvanica",-75.01389,41.07639
"1537","P. pennsylvanica",-75.01389,41.07639
"1538","P. pennsylvanica",-75.01389,41.07639
"1539","P. pennsylvanica",-75.01389,41.07639
"1540","P. pennsylvanica",-75.31611,40.92944
"1541","P. pennsylvanica",-77.11765,40.40546
"1542","P. pennsylvanica",-77.11765,40.40546
"1543","P. pennsylvanica",-77.11765,40.40546
"1544","P. pennsylvanica",-77.11765,40.40546
"1555","P. pennsylvanica",-79.56081,40.30034
"1556","P. pennsylvanica",-79.56081,40.30034
"1557","P. pennsylvanica",-79.56081,40.30034
"1558","P. pennsylvanica",-79.56081,40.30034
"1605","P. pennsylvanica",-80.52713,34.6692
"1607","P. pennsylvanica",-77.28173,38.78912
"1660","P. pennsylvanica",-77.09466934,45.64161388
"1661","P. pennsylvanica",-80.21615982,43.53484288
"1662","P. pennsylvanica",-80.22027969,43.54913495
